date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,sentiment
2020-07-18 20:20:52,zach_m_s,,1,12,120,Hey @chicagosmayor! The memes aren't cute any more. Listen to the citizens of Chicago who CONTINUE to ask for you to defund CPD by reallocating the 1.8 BILLION dollars to other services that fulfill the needs of the citizens.,,@chicagosmayor,,1284583940188143623,https://twitter.com/zach_m_s/status/1284583940188143623,Positive
2020-07-18 20:20:25,wordlust,,0,0,1,Defund Earth,,,,1284583829290848258,https://twitter.com/wordlust/status/1284583829290848258,Positive
2020-07-18 20:16:17,WoodsonTJames,MarkDice,0,1,1,"This is what defund the police looks like, dumbass liberals morons!!! Watch the whole video. #maga #trump2020 #DemocratsTheEnemyWithin #DemocratsHateAmerica",,,#maga #trump2020 #DemocratsTheEnemyWithin #DemocratsHateAmerica,1284582786599452672,https://twitter.com/WoodsonTJames/status/1284582786599452672,Negative
2020-07-18 20:15:55,kulaComfort,Julio_Rosas11,0,0,0,@chicagosmayor I suppose this is ok with you?? Let's DEFUND the @Chicagopolice,,@chicagosmayor @ChiCagoPoLicE,,1284582695834734592,https://twitter.com/kulaComfort/status/1284582695834734592,Positive
2020-07-18 20:04:27,BaburRealer,,0,1,3,Defund and Abolish the police #DecolonizeZhigaagoong https://www.usatoday.com/story/news/nation/2020/07/18/chicago-protest-columbus-statue-18-police-wounded-12-arrested/5464162002/ via @usatoday,,@USATODAY,#DecolonizeZhigaagoong,1284579807817277440,https://twitter.com/BaburRealer/status/1284579807817277440,Positive
2020-07-18 20:01:11,nackoball,MattMartinChi,0,0,0,Why ask? ComEd has been corrupt since its inception and will not change. It's past time to #DemocratizeComEd,,,#DemocratizeComEd,1284578985448529928,https://twitter.com/nackoball/status/1284578985448529928,Negative
2020-07-18 20:00:54,Gmas312,TMZ,1,0,0,But you clowns at @TMZ are supporting the “defund the police” movement. Clowns,,@TMZ,,1284578916829507584,https://twitter.com/Gmas312/status/1284578916829507584,Negative
2020-07-18 19:56:13,BigTreeTen,,0,1,2,Defund &amp; abolish the police!!!https://www.usatoday.com/story/news/nation/2020/07/18/chicago-protest-columbus-statue-18-police-wounded-12-arrested/5464162002/,,,,1284577738377039872,https://twitter.com/BigTreeTen/status/1284577738377039872,Negative
2020-07-18 19:56:05,mediocremaddon,BLMChi,0,1,2,Lol.. defund police my ass.. u thugs wanna run around committing crimes... cowards,,,,1284577702897491970,https://twitter.com/mediocremaddon/status/1284577702897491970,Negative
2020-07-18 19:50:57,jordannachicago,,0,0,9,Just ate an ice cream sandwich and it didn’t cure my depression and existential dread........what’s the point anymore,,,,1284576412779917313,https://twitter.com/jordannachicago/status/1284576412779917313,Negative
2020-07-18 19:47:02,btoch,cbschicago,0,0,8,And what about the protesters?,,,,1284575428150165509,https://twitter.com/btoch/status/1284575428150165509,Positive
2020-07-18 19:43:22,ZindyMarquez,,0,0,0,"@chicagosmayor defund CPD, remove CPD from CPS, and take down the Christopher Columbus statue already. We know the “full history”, no need to praise a colonizer.",,@chicagosmayor,,1284574503138361345,https://twitter.com/ZindyMarquez/status/1284574503138361345,Negative
2020-07-18 19:42:40,toreilly,,1,1,2,WOW! Chris Wallace Carries Water for Democrats - Says Biden Never Said to Defund Police Even Though He Said He Would Redirect Police Funding (VIDEO) https://www.thegatewaypundit.com/2020/07/wow-chris-wallace-carries-water-democrats-says-biden-never-said-defund-police-even-though-said-redirect-police-funding-video/?utm_source=Twitter&amp;utm_campaign=websitesharingbuttons via @gatewaypundit,,@gatewaypundit,,1284574326042300416,https://twitter.com/toreilly/status/1284574326042300416,Negative
2020-07-18 19:37:28,somestarstuff,chicagosmayor,0,0,1,WE WILL IMPEACH YOU AND DEFUND YOUR COPS,,,,1284573019269214212,https://twitter.com/somestarstuff/status/1284573019269214212,Positive
2020-07-18 19:37:08,JuliaAyeee,_CharlesPreston,0,0,5,pathetic! the agression and violence shown yesterday by the cpd ALL TO PROTECT A STATUE OF A COLONIZER!!!!!!! say it with me now defund! the! police!! ,,,,1284572935144067072,https://twitter.com/JuliaAyeee/status/1284572935144067072,Negative
2020-07-18 19:37:07,leeStarr20,,0,0,0,"Defund welfare and defund these traitorous colleges these institutions of marxis hate fuck them, enough said.",,,,1284572929968267266,https://twitter.com/leeStarr20/status/1284572929968267266,Negative
2020-07-18 19:32:16,ImJustMe1979,chicagosmayor,0,0,1,Tear down the statue and defund the police ,,,,1284571709702647819,https://twitter.com/ImJustMe1979/status/1284571709702647819,Negative
2020-07-18 19:31:17,_kechimusic1,,0,1,1,@chicagosmayor you’re playing the wrong game. You’re on the wrong side. Defund @Chicago_Police and put that money back into the communities that need the resources to thrive. Enough of this cowardice bullshit. Over a statue. #DefundCPD #ACAB,,@chicagosmayor @Chicago_Police,#DefundCPD #ACAB,1284571463731871745,https://twitter.com/_kechimusic1/status/1284571463731871745,Positive
2020-07-18 19:29:11,_kechimusic1,,1,0,0,"I don’t care that much for symbolic racism/semantics as I do the real, socioeconomic consequences of systemic racism. But @chicagosmayor you’re gonna refuse to defund the @Chicago_Police and instead send them to attack protesters over a STATUE??? That’s what you stand for?",,@chicagosmayor @Chicago_Police,,1284570932837781510,https://twitter.com/_kechimusic1/status/1284570932837781510,Negative
2020-07-18 19:27:52,theeodorakc,chicagosmayor,0,0,0,"Ma’am, I mean this deeply and sincerely—shut the fuck up.",,,,1284570604713185286,https://twitter.com/theeodorakc/status/1284570604713185286,Negative
2020-07-18 19:19:46,death_nerd,chicagosmayor,0,0,0,Then defund the police... the one thing the protesters are asking for????,,,,1284568563890757633,https://twitter.com/death_nerd/status/1284568563890757633,Negative
2020-07-18 19:14:45,aqueerwolf,chicagosmayor,1,0,2,"Fuck conversation, just take down the statue and defund the police.",,,,1284567300599951360,https://twitter.com/aqueerwolf/status/1284567300599951360,Negative
2020-07-18 19:14:31,alleygorey,hatelucki,0,0,0,Do you even pay property and income taxes? What money are you putting in in order to defund?,,,,1284567242626215940,https://twitter.com/alleygorey/status/1284567242626215940,Negative
2020-07-18 19:11:54,DLNANGLE,,0,0,0,Stop the rioting. Defund welfare. @realDonaldTrump,,@realDonaldTrump,,1284566586360311809,https://twitter.com/DLNANGLE/status/1284566586360311809,Negative
2020-07-18 19:05:41,MariiahCarlos,peace4all333,0,0,3,"Fake News. It's ludicrous, even Donald Trump couldn't figure out where Biden said he'll defund the police. ",,,,1284565018202173440,https://twitter.com/MariiahCarlos/status/1284565018202173440,Negative
2020-07-18 18:58:44,briebxrries,chicagosmayor,0,1,4,i think i missed the part when john lewis was assaulted by police while protesting where he then went and defended police while refusing to defund/abolish them even after they assaulted a black girl for protesting the way cpd did miracle yesterday ,,,,1284563271060783105,https://twitter.com/briebxrries/status/1284563271060783105,Negative
2020-07-18 18:52:59,nikfraz14,,0,1,8,Officer Lightfoot praising John Lewis after the CPD beat up protestors making Good Trouble last night is almost comical. Defund,,,,1284561824835305474,https://twitter.com/nikfraz14/status/1284561824835305474,Positive
2020-07-18 18:50:28,xxx64449338,,0,0,0, Hey @realDonaldTrump this is why we need to defund the police. Police are not above the law. Police the fucking police! #NoJusticeNoPeace #RevolutionNow,,@realDonaldTrump,#NoJusticeNoPeace #RevolutionNow,1284561192179183623,https://twitter.com/xxx64449338/status/1284561192179183623,Negative
2020-07-18 18:49:34,realgracestuewe,RashidaTiller,0,0,1,Because for some reason y’all still bump Chris Brown,,,,1284560963795070976,https://twitter.com/realgracestuewe/status/1284560963795070976,Negative
2020-07-18 18:48:14,gretelisabeth,chickfilasauced,0,0,1,Thank you for contacting the Walt Disney World Resort! Thank you for your email to the Walt Disney World Resort!,,,,1284560628070457346,https://twitter.com/gretelisabeth/status/1284560628070457346,Positive
2020-07-18 18:46:26,Scarvis,trollishdelver,0,0,1,That’s just bad writing,,,,1284560174192066560,https://twitter.com/Scarvis/status/1284560174192066560,Negative
2020-07-18 18:36:41,48thNeighbors,,2,0,12,"We call on @chicagosmayor to hold accountable and defund the racist police force that brutalized young Black and Indigenous activists, and to immediately end the use of pepper spray and tear gas on Chicagoans.",,@chicagosmayor,,1284557721124114434,https://twitter.com/48thNeighbors/status/1284557721124114434,Negative
2020-07-18 18:34:19,kiarajeniece,chicagosmayor,0,0,2,AINT SHIT CHANGED MY ENTIRE LIFE HAS BEEN A “DIFFICULT MOMENT”. DEFUND THE POLICE. ,,,,1284557127638548487,https://twitter.com/kiarajeniece/status/1284557127638548487,Negative
2020-07-18 18:31:22,yoncapone,chicagosmayor,1,0,0,"A really great way to do that would be to defund the police, who spent last night cracking non-violent protesters in the head with batons, sending them to the hospital, and then moving them straight to jail after they get released #DefundCPD #DefundPolice",,,#DefundCPD #DefundPolice,1284556381912207362,https://twitter.com/yoncapone/status/1284556381912207362,Negative
2020-07-18 18:29:28,yoncapone,chicagosmayor,1,0,4,A really great way to do that would be to defund the police,,,,1284555907842674690,https://twitter.com/yoncapone/status/1284555907842674690,Negative
2020-07-18 18:28:38,rulesforrebels,uther9pendragon,0,0,0,Defund antifa and blm,,,,1284555695703105537,https://twitter.com/rulesforrebels/status/1284555695703105537,Positive
2020-07-18 18:27:14,the_ari_gato,,0,1,32,Like why this long ass string of tweets. Just defund violent police force your supported and enabled. That’s all we want. We want them to face repercussions. It’s...very simple !!,,,,1284555344019103747,https://twitter.com/the_ari_gato/status/1284555344019103747,Negative
2020-07-18 18:26:18,the_ari_gato,,2,50,261,Lori defund the police or shut up challenge,,,,1284555109419175944,https://twitter.com/the_ari_gato/status/1284555109419175944,Negative
2020-07-18 18:22:27,w0mbles_,BlockClubCHI,0,0,0,.@chicagosmayor defund @Chicago_Police!,,@chicagosmayor @Chicago_Police,,1284554138974642177,https://twitter.com/w0mbles_/status/1284554138974642177,Positive
2020-07-18 18:21:48,nulaw1,CWBChicago,0,0,2,Just think what crime will be like if Joe Biden gets elected and the Democrats defund the police.,,,,1284553977988894721,https://twitter.com/nulaw1/status/1284553977988894721,Negative
2020-07-18 18:19:16,tone_villa,JeffSchuhrke,0,0,0,Defund these blm clowns,,,,1284553337917120513,https://twitter.com/tone_villa/status/1284553337917120513,Negative
2020-07-18 18:17:54,gretelisabeth,laurenboebert,0,0,2, ,,,,1284552994055434244,https://twitter.com/gretelisabeth/status/1284552994055434244,Positive
2020-07-18 18:17:10,wordlust,,0,0,6,Defund your mom.,,,,1284552810185580545,https://twitter.com/wordlust/status/1284552810185580545,Negative
2020-07-18 18:16:57,Alex_John_7,666papi_,0,0,3,Hahahaha you’re a clown! They’ll never defund the CPD,,,,1284552757010210817,https://twitter.com/Alex_John_7/status/1284552757010210817,Negative
2020-07-18 18:10:20,theflydoc,,1,0,4,This started as a peaceful demonstration organized by Black Lives Matter Chicago et al. as a call to defund the police and combat systemic racism. (2/7),,,,1284551090701303808,https://twitter.com/theflydoc/status/1284551090701303808,Negative
2020-07-18 18:09:13,nackoball,,0,6,7,Here is the link to a gofundme to help one of the victims of @chicagosmayor's police brutality.,,@chicagosmayor,,1284550809787805697,https://twitter.com/nackoball/status/1284550809787805697,Negative
2020-07-18 18:08:43,CarlyBallerini,nosirnotabot,0,0,4,This sucks and happens constantly to women who are married to men in authority figure roles and is even worse for WOC and older women who tend to get no recognition or help. We have to take away police protections for this to stop. Defund and defang the police union. ,,,,1284550684969508865,https://twitter.com/CarlyBallerini/status/1284550684969508865,Negative
2020-07-18 18:06:44,MikeShamrock1,jsolomonReports,0,0,1,"Great, how about the schools meet standards and if they don't meet those standards then we defund them, second renegotiate teacher pension programs and tenure,",,,,1284550186262507525,https://twitter.com/MikeShamrock1/status/1284550186262507525,Positive
2020-07-18 18:05:29,quequetenango,,0,0,0,@chicagosmayor DEFUND CPD,,@chicagosmayor,,1284549871605882885,https://twitter.com/quequetenango/status/1284549871605882885,Positive
2020-07-18 18:04:46,Montanablowhard,chicagosmayor,0,0,8,An easy way to do this would be to Defund the Police. ,,,,1284549690265161734,https://twitter.com/Montanablowhard/status/1284549690265161734,Negative
2020-07-18 18:02:35,apat10,,0,0,0,@chicagosmayor @LoriLightfoot defund the CPD. 1.8 billion dollars funding the police beating protestors while in riot gear to protect a statue of a RAPIST COLONIZER.,,@chicagosmayor @LoriLightfoot,,1284549140802871298,https://twitter.com/apat10/status/1284549140802871298,Negative
2020-07-18 18:02:27,CharBacon,chicagosmayor,0,2,22,"you ordered the cops to pepper spray us yesterday to protect a statue of a lying, murderous thief. defund the police now. resign. fix the mess you’ve made. ",,,,1284549106392760320,https://twitter.com/CharBacon/status/1284549106392760320,Negative
2020-07-18 18:00:52,michaelperry_10,chicagosmayor,0,0,3,You can make meaningless statements or defund the CPD that was *literally* cracking people's skulls yesterday. I see you made your choice. ,,,,1284548707598446593,https://twitter.com/michaelperry_10/status/1284548707598446593,Negative
2020-07-18 18:00:36,nackoball,chicagosmayor,2,32,110,"Chicago does not have a long history of peaceful protest. It has a long history of CPD responding to peaceful protest with violence. A history of which you are yourself now a chapter. And, in all of this, the thing you have been the most upset by is that fucking popcorn.",,,,1284548642301509633,https://twitter.com/nackoball/status/1284548642301509633,Negative
2020-07-18 17:58:56,nackoball,chicagosmayor,0,0,0,"Yes, and you have made clear that you have no intention of making the changes which would quell that frustration and impatience. You fucking joke.",,,,1284548220341944320,https://twitter.com/nackoball/status/1284548220341944320,Negative
2020-07-18 17:52:09,JamesGierach,CesarCuevas_,0,1,1,DEFUND UNODC ! Entirely. ,,,,1284546516175278086,https://twitter.com/JamesGierach/status/1284546516175278086,Positive
2020-07-18 17:48:23,SaintofSnark,theBATCLAM,0,0,3,Yiiiiikes on bikes,,,,1284545565628551168,https://twitter.com/SaintofSnark/status/1284545565628551168,Positive
2020-07-18 17:48:18,SMKnudsen,ErikVoorhees,1,0,1,Mexico should defund the police and move to community based policing. That might solve the issue.,,,,1284545545890082821,https://twitter.com/SMKnudsen/status/1284545545890082821,Positive
